one,1
pound (avoirdupois) per minute degree Fahrenheit,lb/(min·°F)
pound (avoirdupois) per degree Fahrenheit,lb/°F
pound (avoirdupois) per day,lb/d
pound per foot,lb/ft
pound per square foot,lb/ft²
pound per cubic foot,lb/ft³
pound (avoirdupois) per gallon (UK),lb/gal (UK)
pound per gallon (US),lb/gal (US)
pound per hour,lb/h
pound per inch of length,lb/in
pound per square inch absolute,lb/in²
pound per cubic inch,lb/in³
pound per thousand square foot,lb/kft²
pound per pound,lb/lb
pound (avoirdupois) per minute,lb/min
pound (avoirdupois) per psi,lb/psi
pound (avoirdupois) per second,lb/s
pound per yard,lb/yd
pound per square yard,lb/yd²
pound per cubic yard,lb/yd³
pound-force,lbf
pound-force foot,lbf·ft
pound-force foot per ampere,lbf·ft/A
pound-force foot per inch,lbf·ft/in
pound-force foot per pound,lbf·ft/lb
pound-force inch,lbf·in
pound-force inch per inch,lbf·in/in
pound-force second per square foot,lbf·s/ft²
pound-force second per square inch,lbf·s/in²
pound-force per foot,lbf/ft
pound-force per square foot,lbf/ft²
pound-force per inch,lbf/in
pound-force per square inch,lbf/in²
pound-force per yard,lbf/yd
pound mole,lbmol
pound mole per minute,lbmol/h
pound mole per pound,lbmol/lb
pound mole per second,lbmol/s
liquid pint (US),liq pt (US)
liquid quart (US),liq qt (US)
lumen,lm
lumen hour,lm·h
lumen second,lm·s
lumen per square foot,lm/ft²
lumen per square metre,lm/m²
lumen per watt,lm/W
lux,lx
lux hour,lx·h
lux second,lx·s
langley,Ly
light year,ly
metre,m
Metre Day,m·day
metre kelvin,m·K
Metre Month,m·mo
Metre Week,m·wk
metre per degree Celcius metre,m/(°C·m)
metre per volt second,m/(V·s)
metre per bar,m/bar
metre per hour,m/h
metre per kelvin,m/K
metre per minute,m/min
metre per pascal,m/Pa
metre per radiant,m/rad
metre per second,m/s
metre per second squared,m/s²
reciprocal metre,m⁻¹
reciprocal square metre,m⁻²
reciprocal metre squared reciprocal second,m⁻²/s
reciprocal cubic metre,m⁻³
reciprocal cubic metre per second,m⁻³/s
square metre,m²
Square Metre Week,m²· wk
Square Metre Day,m²·d
square metre hour degree Celsius per kilocalorie (international table),m²·h·°C/kcal
square metre kelvin per watt,m²·K/W
Square Metre Month,m²·mo
square metre per second bar,m²/(s·bar)
square metre per second kelvin,m²/(s·K)
square metre per steradian joule,m²/(sr·J)
square metre per volt second,m²/(V·s)
square metre per joule,m²/J
square metre per kilogram,m²/kg
square metre per litre,m²/l
square metre per cubic metre,m2/m3
square metre per mole,m²/mol
square metre per newton,m²/N
square metre per second,m²/s
square metre per steradian,m²/sr
cubic metre,m³
Cubic Metre Day,m³·d
Cubic Metre Month,m³·mo
Cubic Metre Week,m³·wk
cubic metre per day bar,m³/(d·bar)
cubic metre per day kelvin,m³/(d·K)
cubic metre per hour bar,m³/(h·bar)
cubic metre per hour kelvin,m³/(h·K)
cubic metre per minute bar,m³/(min·bar)
cubic metre per minute kelvin,m³/(min·K)
cubic metre per second bar,m³/(s·bar)
cubic metre per second kelvin,m³/(s·K)
cubic metre per bar,m³/bar
cubic metre per coulomb,m³/C
cubic metre per day,m³/d
cubic metre per hour,m³/h
cubic metre per kelvin,m³/K
cubic metre per kilogram,m³/kg
cubic metre per cubic metre,m³/m³
cubic metre per minute,m³/min
cubic metre per mole,m³/mol
cubic metre per pascal,m³/Pa
cubic metre per second,m³/s
metre to the fourth power,m⁴
megaampere,MA
milliampere,mA
milliampere hour,mA·h
milliampere per pound-force per square inch,mA/(lbf/in²)
milliampere per litre minute,mA/(l·min)
milliampere per bar,mA/bar
milliampere per inch,mA/in
megaampere per square metre,MA/m²
milliampere per millimetre,mA/mm
millibar,mbar
millibar litre per second,mbar·l/s
millibar cubic metre per second,mbar·m³/s
millibar per bar,mbar/bar
millibar per kelvin,mbar/K
megabaud,MBd
megabit,Mbit
megabit per second,Mbit/s
megabecquerel,MBq
megabecquerel per kilogram,MBq/kg
million Btu per 1000 cubic foot,MBTU/kft³
megabyte,Mbyte
megabyte per second,Mbyte/s
megacoulomb,MC
millicoulomb,mC
millicoulomb per kilogram,mC/kg
megacoulomb per square metre,MC/m²
millicoulomb per square metre,mC/m²
megacoulomb per cubic metre,MC/m³
millicoulomb per cubic metre,mC/m³
millicandela,mcd
millicurie,mCi
metric horse power,metric hp
megaelectronvolt,MeV
millifarad,mF
million cubic foot,Mft³
megagram,Mg
milligram,mg
milligram per day bar,mg/(d·bar)
milligram per day kelvin,mg/(d·K)
milligram per hour bar,mg/(h·bar)
milligram per hour kelvin,mg/(h·K)
milligram per minute bar,mg/(min·bar)
milligram per minute kelvin,mg/(min·K)
milligram per second bar,mg/(s·bar)
milligram per second kelvin,mg/(s·K)
milligram per bar,mg/bar
milligram per square centimetre,mg/cm²
milligram per day,mg/d
milligram per gram,mg/g
megagram per hour,Mg/h
milligram per hour,mg/h
milligram per square inch,mg/in²
milligram per kelvin,mg/K
milligram per kilogram,mg/kg
milligram per litre,mg/l
milligram per metre,mg/m
milligram per square metre,mg/m²
megagram per cubic metre,Mg/m³
milligram per cubic metre,mg/m³
milligram per minute,mg/min
milligram per second,mg/s
milligal,mGal
milligray,mGy
milligray per hour,mGy/h
milligray per minute,mGy/min
milligray per second,mGy/s
millihenry,mH
millihenry per kiloohm,mH/kΩ
millihenry per ohm,mH/Ω
conventional metre of water,mH₂O
megahertz,MHz
millihertz,mHz 
megahertz kilometre,MHz·km
megahertz metre,MHz·m
mile (based on U.S. survey foot),mi (US survey)
mile per minute,mi/min
mile per second,mi/s
mile (statute mile) per second squared,mi/s²
square mile (statute mile),mi²
square mile (based on U.S. survey foot),mi² (US survey)
cubic mile (UK statute),mi³
mebibit,Mibit
mebibit per metre,Mibit/m
mebibit per square metre,Mibit/m²
mebibit per cubic metre,Mibit/m³
mebibyte,Mibyte
mil,mil
milli-inch,mil
mile (statute mile),mile
mile per hour (statute mile),mile/h
minute [unit of time],min
reciprocal minute,min⁻¹
megajoule,MJ
millijoule,mJ
megajoule per kilogram,MJ/kg
Mega Joule per Normalised cubic Metre,MJ/m³
megajoule per cubic metre,MJ/m³
megajoule per second,MJ/s
megalitre,Ml
millilitre,ml
millilitre per square centimetre second,ml/(cm²·s)
millilitre per day bar,ml/(d·bar)
millilitre per day kelvin,ml/(d·K)
millilitre per hour bar,ml/(h·bar)
millilitre per hour kelvin,ml/(h·K)
millilitre per minute bar,ml/(min·bar)
millilitre per minute kelvin,ml/(min·K)
millilitre per second bar,ml/(s·bar)
millilitre per second kelvin,ml/(s·K)
millilitre per bar,ml/bar
millilitre per day,ml/d
millilitre per hour,ml/h
millilitre per kelvin,ml/K
millilitre per kilogram,ml/kg
millilitre per litre,ml/l
millilitre per cubic metre,ml/m³
millilitre per minute,ml/min
millilitre per second,ml/s
megametre,Mm
millimetre,mm
conventional millimetre of water,mm H₂O
conventional millimetre of mercury,mm Hg
millimetre per degree Celcius metre,mm/(°C·m)
millimetre per bar,mm/bar
millimetre per hour,mm/h
millimetre per kelvin,mm/K
millimetre per minute,mm/min
millimetre per second,mm/s
millimetre per second squared,mm/s²
millimetre per year,mm/y
square millimetre,mm²
millimetre squared per second,mm²/s
cubic millimetre,mm³
million cubic metre,Mm³
cubic millimetre per cubic metre,mm³/m³
millimetre to the fourth power,mm⁴
millimole,mmol
millimole per gram,mmol/g
millimole per kilogram,mmol/kg
millimole per litre,mmol/l
meganewton,MN
millinewton,mN
meganewton metre,MN·m
millinewton metre,mN·m
millinewton per metre,mN/m
month,mo
30-day month,mo (30 days)
mole,mol
mole per cubic decimetre,mol/dm³
mole per hour,mol/h
mole per kilogram,mol/kg
mole per litre,mol/l
mole per cubic metre,mol/m³
mole per minute,mol/min
mole per second,mol/s
reciprocal mole,mol⁻¹
megapascal,MPa
millipascal,mPa
megapascal litre per second,MPa·l/s
megapascal cubic metre per second,MPa·m³/s
millipascal second,mPa·s
millipascal second per bar,mPa·s/bar
millipascal second per kelvin,mPa·s/K
megapascal per bar,MPa/bar
megapascal per kelvin,MPa/K
millipascal per metre,mPa/m
milliroentgen,mR
milliradian,mrad
milliroentgen aequivalent men,mrem
millisecond,ms
millisiemens,mS
millisiemens per centimetre,mS/cm
megasiemens per metre,MS/m
millisievert,mSv
millisievert per hour,mSv/h
millisievert per minute,mSv/min
millisievert per second,mSv/s
millitesla,mT
megavolt,MV
millivolt,mV
megavolt - ampere,MV·A
millivolt - ampere,mV·A
millivolt per kelvin,mV/K
megavolt per metre,MV/m
millivolt per metre,mV/m
millivolt per minute,mV/min
megavar,Mvar
megavolt ampere reactive hour,Mvar·h
megawatt,MW
milliwatt,mW
module width,MW
megawatt hour (1000 kW.h),MW·h
megawatt hour per hour,MW·h/h
megawatt per hertz,MW/Hz
milliwatt per square metre,mW/m²
megawatts per minute,MW/min
milliweber,mWb
maxwell,Mx
megaohm,MΩ
milliohm,mΩ
megaohm kilometre,MΩ·km
megaohm metre,MΩ·m
milliohm metre,mΩ·m
megaohm per kilometre,MΩ/km
megaohm per metre,MΩ/m
milliohm per metre,mΩ/m
newton,N
nautical mile,n mile
newton centimetre,N·cm
newton metre,N·m
newton metre second,N·m·s
"newton metre watt to the power minus 0,5",N·m·W⁻⁰‧⁵
newton metre per ampere,N·m/A
newton metre per kilogram,N·m/kg
newton metre per metre,N·m/m²
newton metre per square metre,N·m/m²
newton metre per radian,N·m/rad
newton square metre per ampere,N·m²/A
newton metre squared per kilogram squared,N·m²/kg²
newton second,N·s
newton second per metre,N·s/m
newton per ampere,N/A
newton per centimetre,N/cm
newton per square centimetre,N/cm²
newton per metre,N/m
newton per square metre,N/m²
newton per millimetre,N/mm
newton per square millimetre,N/mm²
nanoampere,nA
natural unit of information,nat
natural unit of information per second,nat/s
nanocoulomb,nC
nanofarad,nF
nanofarad per metre,nF/m
nanogram per kilogram,ng/kg
nanogray per hour,nGy/h
nanogray per minute,nGy/min
nanogray per second,nGy/s
nanohenry,nH
nanohenry per metre,nH/m
nanolitre,nl
nanometre,nm
newton metre per degree,Nm/°
nanomole,nmol
neper,Np
neper per second,Np/s
nanosecond,ns
nanosiemens per centimetre,nS/cm
nanosiemens per metre,nS/m
nanosievert per hour,nSv/h
nanosievert per minute,nSv/min
nanosievert per second,nSv/s
nanotesla,nT
Nephelometric turbidity unit,NTU
nanowatt,nW
nanoohm,nΩ
nanoohm metre,nΩ·m
octet,o
oscillations per minute,o/min
octet per second,o/s
oersted,Oe
degree Fahrenheit hour square foot per British thermal unit (international table) inch,ºF·h·ft²/(BtuIT·in)
degree Fahrenheit hour square foot per British thermal unit (thermochemical) inch,ºF·h·ft²/(Btuth·in)
degree Fahrenheit hour per British thermal unit (international table),ºF/(BtuIT/h)
degree Fahrenheit second per British thermal unit (international table),ºF/(BtuIT/s)
degree Fahrenheit hour per British thermal unit (thermochemical),ºF/(Btuth/h)
degree Fahrenheit second per British thermal unit (thermochemical),ºF/(Btuth/s)
ounce (avoirdupois),oz
ounce foot,oz·ft
ounce inch,oz·in
"ounce per square foot per 0,01inch",oz/(ft²/cin)
ounce (avoirdupois) per day,oz/d
ounce per square foot,oz/ft²
ounce (avoirdupois) per gallon (UK),oz/gal (UK)
ounce (avoirdupois) per gallon (US),oz/gal (US)
ounce (avoirdupois) per hour,oz/h
ounce (avoirdupois) per square inch,oz/in²
ounce (avoirdupois) per cubic inch,oz/in³
ounce (avoirdupois) per minute,oz/min
ounce (avoirdupois) per second,oz/s
ounce per square yard,oz/yd²
ounce (avoirdupois) per cubic yard,oz/yd³
ounce (avoirdupois)-force,ozf
ounce (avoirdupois)-force inch,ozf·in
poise,P
pond,p
poise per bar,P/bar
poise per kelvin,P/K
poise per pascal,P/Pa
pascal,Pa
picoampere,pA
pascal second per kelvin,Pa.s/K
pascal second per metre,Pa· s/m
pascal litre per second,Pa·l/s
pascal cubic metre per second,Pa·m³/s
pascal second,Pa·s
pascal second per bar,Pa·s/bar
pascal second per litre,Pa·s/l
pascal second per cubic metre,Pa·s/m³
pascal square metre per kilogram,Pa/(kg/m²)
pascal per bar,Pa/bar
pascal per kelvin,Pa/K
pascal per metre,Pa/m
reciprocal pascal or pascal to the power minus one,Pa⁻¹
pascal squared second,Pa²·s
pascal to the power sum of stoichiometric numbers,PaΣνB
petabit,Pbit
petabit per second,Pbit/s
petabyte,Pbyte
parsec,pc
picocoulomb,pC
poundal,pdl
poundal per square foot,pdl/ft²
poundal per inch,pdl/in
poundal per square inch,pdl/in²
poundal foot,pdl·ft
poundal inch,pdl·in
perm (0 ºC),perm (0 ºC)
perm (23 ºC),perm (23 ºC)
picofarad,pF
picofarad per metre,pF/m
pfund,pfd
pH (potential of Hydrogen),pH
phot,ph
picohenry,pH
pebibit per metre,Pibit/m
pebibit per square metre,Pibit/m²
pebibit per cubic metre,Pibit/m³
pebibyte,Pibyte
Piece Day,piece·d
Piece Week,piece·k
Piece Month,piece·mo
petajoule,PJ
bulk pack,pk
peck (UK),pk (UK)
peck (UK) per day,pk (UK)/d
peck (UK) per hour,pk (UK)/h
peck (UK) per minute,pk (UK)/min
peck (UK) per second,pk (UK)/s
peck (US dry) per day,pk (US dry)/d
peck (US dry) per hour,pk (US dry)/h
peck (US dry) per minute,pk (US dry)/min
peck (US dry) per second,pk (US dry)/s
peck,pk (US)
picolitre,pl
picometre,pm
picopascal per kilometre,pPa/km
part per billion (US),ppb
part per hundred thousand,ppht
page per inch,ppi
part per million,ppm
Pferdestaerke,PS
picosecond,ps
picosiemens,pS
picosiemens per metre,pS/m
psi cubic inch per second,psi·in³/s
psi litre per second,psi·l/s
psi cubic metre per second,psi·m³/s
psi cubic yard per second,psi·yd³/s
pound-force per square inch degree Fahrenheit,psi/°F
psi per inch,psi/in
psi per psi,psi/psi
pint (UK),pt (UK)
pint (UK) per day,pt (UK)/d
pint (UK) per hour,pt (UK)/h
pint (UK) per minute,pt (UK)/min
pint (UK) per second,pt (UK)/s
pint (US dry),pt (US dry)
pint (US liquid) per day,pt (US liq.)/d
pint (US liquid) per hour,pt (US liq.)/h
pint (US liquid) per minute,pt (US liq.)/min
pint (US liquid) per second,pt (US liq.)/s
pint (US),pt (US)
portion,PTN
picovolt,pV
picowatt,pW
picowatt per square metre,pW/m²
quire,qr
quarter (UK),Qr (UK)
quart (UK liquid) per day,qt (UK liq.)/d
quart (UK liquid) per hour,qt (UK liq.)/h
quart (UK liquid) per minute,qt (UK liq.)/min
quart (UK liquid) per second,qt (UK liq.)/s
quart (UK),qt (UK)
quart (US dry),qt (US dry)
quart (US liquid) per day,qt (US liq.)/d
quart (US liquid) per hour,qt (US liq.)/h
quart (US liquid) per minute,qt (US liq.)/min
quart (US liquid) per second,qt (US liq.)/s
quart (US),qt (US)
quad (1015 BtuIT),quad
roentgen,R
revolution per minute,r/min
revolutions per minute,r/min
revolutions per second,r/s
roentgen per second,R/s
rad,rad
radian,rad
radian square metre per kilogram,rad·m²/kg
radian square metre per mole,rad·m²/mol
radian per metre,rad/m
radian per second,rad/s
radian per second squared,rad/s²
rod [unit of distance],rd (US)
square rod,rd²
rem,rem
rem per second,rem/s
revolution,rev
rhe,rhe
"ton, register",RT
second [unit of time],s
siemens,S
siemens square metre per mole,S·m²/mol
second per cubic metre radian,s/(rad·m³)
siemens per centimetre,S/cm
second per kilogramm,s/kg
siemens per metre,S/m
second per cubic metre,s/m³
reciprocal second,s⁻¹
reciprocal second per steradian metre squared,s⁻¹/(sr·m²)
reciprocal second per metre squared,s⁻¹/m²
reciprocal second per cubic metre,s⁻¹/m³
reciprocal second per steradian,s⁻¹/sr
stilb,sb
shannon,Sh
shannon per second,Sh/s
shake,shake
slug,slug
slug per foot second,slug/(ft·s)
slug per day,slug/d
slug per cubic foot,slug/ft³
slug per hour,slug/h
slug per minute,slug/min
slug per second,slug/s
steradian,sr
stere,st
stokes,St
stone (UK),st
stokes per bar,St/bar
stokes per kelvin,St/K
stokes per pascal,St/Pa
standard,std
standard cubic foot,std
sievert,Sv
sievert per hour,Sv/h
sievert per minute,Sv/min
sievert per second,Sv/s
Name,Symbol
tesla,T
tonne (metric ton),t
tonne kilometre,t·km
tonne per bar,t/bar
tonne per day,t/d
tonne per hour,t/h
tonne per kelvin,t/K
tonne per cubic metre,t/m³
tonne per minute,t/min
tonne per month,t/mo
tonne per second,t/s
tonne per year,t/y
tablespoon (US),tablespoon (US)
total acid number,TAN
terabit,Tbit
terabit per second,Tbit/s
terabyte,Tbyte
teaspoon (US),teaspoon (US)
tex,tex (g/km)
therm (EC),thm (EC)
therm (U.S.),thm (US)
terahertz,THz
tebibit per metre,Tibit/m
tebibit per square metre,Tibit/m²
tebibit per cubic metre,Tibit/m³
tebibyte,Tibyte
terajoule,TJ
ton (UK) or long ton (US),ton (UK)
ton long per day,ton (UK)/d
ton (US) or short ton (UK/US),ton (US)
ton (US) per hour,ton (US) /h
ton short per hour degree Fahrenheit,ton (US)/(h·°F)
ton short per degree Fahrenheit,ton (US)/°F
ton short per day,ton (US)/d
ton short per psi,ton (US)/psi
ton (UK long) per cubic yard,ton.l/yd³ (UK)
ton (US short) per cubic yard,ton.s/yd³ (US)
ton-force (US short),ton.sh-force
torr,Torr
torr per metre,Torr/m
teeth per inch,TPI
troy ounce or apothecary ounce,tr oz
terawatt,TW
terawatt hour,TW·h
teraohm,TΩ
unified atomic mass unit,u
rack unit,U or RU
astronomical unit,ua
unit pole,unit pole
volt,V
volt AC,V
volt DC,V
volt - ampere,V·A
volt - ampere per kilogram,V·A / kg
volt second per metre,V·s/m
volt square inch per pound-force,V/(lbf/in²)
volt per litre minute,V/(l·min)
volt per bar,V/bar
volt per centimetre,V/cm
volt per inch,V/in
volt per kelvin,V/K
volt per metre,V/m
volt per millimetre,V/mm
volt per pascal,V/Pa
volt per second,V/s
volt per microsecond,V/µs
volt squared per kelvin squared,V²/K²
var,var
watt,W
watt hour,W·h
watt square metre,W·m²
watt second,W·s
watt per metre degree Celsius,W/(m·°C)
watt per metre kelvin,W/(m·K)
watt per square metre kelvin,W/(m²·K)
watt per square metre kelvin to the fourth power,W/(m²·K⁴)
watt per steradian square metre,W/(sr·m²)
watt per square centimetre,W/cm²
watt per square inch,W/in²
watt per kelvin,W/K
watt per kilogram,W/kg
watt per metre,W/m
watt per square metre,W/m²
watt per cubic metre,W/m³
watt per steradian,W/sr
weber,Wb
weber metre,Wb·m
weber per metre,Wb/m
weber per millimetre,Wb/mm
week,wk
year,y
actual/360,y (360 days)
common year,y (365 days)
sidereal year,y (sidereal)
tropical year,y (tropical)
yard,yd
yard per degree Fahrenheit,yd/°F
yard per hour,yd/h
yard per minute,yd/min
yard per psi,yd/psi
yard per second,yd/s
yard per second squared,yd/s²
square yard,yd²
cubic yard,yd³
cubic yard per degree Fahrenheit,yd³/°F
cubic yard per day,yd³/d
cubic yard per hour,yd³/h
cubic yard per minute,yd³/min
cubic yard per psi,yd³/psi
cubic yard per second,yd³/s
gamma,γ
microampere,µA
microbar,µbar
microbecquerel,µBq
microcoulomb,µC
microcoulomb per square metre,µC/m²
microcoulomb per cubic metre,µC/m³
microcurie,µCi
microfarad,µF
microfarad per kilometre,µF/km
microfarad per metre,µF/m
microgram,µg
microgram per hectogram,µg/hg
microgram per kilogram,µg/kg
microgram per litre,µg/l
microgram per cubic metre,µg/m³
microgray per hour,µGy/h
microgray per minute,µGy/min
microgray per second,µGy/s
microhenry,µH
microhenry per kiloohm,µH/kΩ
microhenry per metre,µH/m
microhenry per ohm,µH/Ω
micro-inch,µin
microlitre,µl
microlitre per litre,µl/l
micrometre (micron),µm
micrometre per kelvin,µm/K
square micrometre (square micron),µm²
micromole,µmol
micronewton,µN
micronewton metre,µN·m
micropoise,µP
micropascal,µPa
microradian,µrad
microsecond,µs
microsiemens,µS
microsiemens per centimetre,µS/cm
microsiemens per metre,µS/m
microsievert per hour,µSv/h
microsievert per minute,µSv/min
microsievert per second,µSv/s
microtesla,µT
microvolt,µV
microvolt per metre,µV/m
microwatt,µW
microwatt per square metre,µW/m²
microohm,µΩ
microohm metre,µΩ·m
ohm,Ω
ohm centimetre,Ω·cm
ohm circular-mil per foot,Ω·cmil/ft
ohm kilometre,Ω·km
ohm metre,Ω·m
ohm per kilometre,Ω/km
ohm per metre,Ω/m
ohm per mile (statute mile),Ω/mi
